,word
0,په
1,د
2,دی
3,ددی 
4,او
5,یو
6,له
7,بل 
8,له بل
9,نه
10,دوی
11,دوي
12,خپل
13,کي
14,کوِي
15,ما 
16,زما
17,زموږ 
18,هم
19,وجود
20,نوم
21,را
22,نو
23,سره
24,مخامخ
25,پرځای 
26,خواخوږي 
27,ځکه 
28,چی
29,خوا 
30,بېلابېلو 
31,ډولونو 
32,شوي
33,ده
34,ترمنځ 
35,هغه 
36,ور 
37,کم
38,تر لاسه
39,دلته
40,عمومي
41,بېله
42,څو
43,منځ
44,ترمنځ
45,نوم
46,سر
47,سره
48,دوی
49,هغوی
50,هغه
51,هغی
52,لاس
53,ته په
54,ترکله
55,به
56,دا
57,لکه
58,نن
59,موږ
60,لمن
61,نوره
62,کړو
63,ډلې
64,ځي
65,یو
66,بل
67,ترڅنګ
68,خپلې
69,ورځينۍ
70,بیایي
71,بېلا بېلو
72,پرې
73,شوې
74,هلې ځلې
75,برابر
76,کتو
77,کوو
78,کېدي
79,لور
80,روان
81,دا
82,کړي
83,څه
84,نشته
85,ته
86,هسې
87,تش
88,لا
89,داسې
90,چلند
91,کوي
92,يې
93,تن
94,ورکوي
95,اوبه
96,ښه
97,والي 
98,ښه والی
99,مرسته
100,وړ 
101,ووایم
102,یوازې
103,تقسیم
104,اوقات
105,هیڅ
106,نلري
107,پاتې
108,ترسره
109,مرسته
110,ولایت
111,ډیر
112,ان
113,پکې
114,ظلم
115,وي
116,هلته
117,پوځ
118,لوی
119,ناست 
120,ځانه
121,سرتیري
122,راتاو
123,باور
124,مو
125,باندې
126,درد
127,دداسې
128,لخوا
129,پخوا
130,ترلاس
131,لاندې
132,اوس
133,هسې
134,درته 
135,همدا
136,ترڅو
137,ددې
138,ځینو
139,ددوی
140,غونډې
141,ونه
142,مخ
143,ایا
144,شوه
145,همغسې
146,ځله
147,همدا
148,دهمدې
149,حقیقت
150,لري
151,وجود
152,وده
153,نشته
154,ولایت
155,ورشي
156,ارګانونو
157,مسؤلین
158,وايي
159,قوماندانان
160,تېر
161,نومبر
162,کابل
163,انګریز
164,سفیر
165,نیکلاس
166,ډیورنډ
167,لوري
168,ول
169,میاشتې
170,وروسته
171,مهال
172,افغانانو
173,افغان
174,درستیز
175,پاټریک کارتر
176,راغلی
177,جنرال
178,قمر
179,جاوید
180,باجوه
181,ایکسپریس
182,اوږدو
183,ساعته
184,کونړ
185,مخکې
186,کړل
187,راهیسې
188,سلګونه
189,مرمۍ
190,دانګام
191,سرکاڼو 
192,ولسوالۍ
193,وار
194,لړۍ
195,والي
196,وحید
197,الله
198,کلیمزی
199,لومړي
200,ودریږي
201,شنبه
202,یکشنبه
203,دوشنبه
204,سه شنبه
205,چهارشنبه
206,پنچشنبه
207,جمعه
208,بیرته
209,هممهال
210,داسې
211,ګومان
212,څوک
213,ویلای
214,دوام
215,ستون
216,ویجاړوي
217,انشاالله
218,کله
219,کړې
220,لخوا
221,پر
222,جوړول
223,سیمه
224,پښتین
225,پښتون
226,تاجیک
227,هزاره
228,اوزبیک
229,ایماق
230,پرلت
231,خامخا
232,وضعیت
233,برتانوي
234,هند
235,ترهګر
236,غوغا
237,همدغو
238,زه
239,تاسی
240,ته
241,هغه سړی
242,هغه ښځه
243,ماته
244,تاته
245,تاسو ته
246,مونږ ته
247,ستا
248,ستاسو
249,يو
250,دوه
251,درې
252,څلور
253,پنځه
254,شپږ
255,اووه
256,اته
257,نهه
258,لس
259,یوولس
260,دولس
261,دیار
262,څوار
263,شپاړس
264,اووه 
265,شل
266,سل
267,زر
268,میلیون
269,السلام عليکم
270,دخدای
271,امان
272,بښنه
273, شم
274, شنه
275, لوړه
276, سور
277, ښه
278, تور
279, اسماني شين
280, نسواري
281, خاكي
282, نارنجې
283, ارغواني
284, سپين
285, ژېړ
286, اندازه
287, غټ
288, لوی
289, ژور
290, اوږد
291, لنډ
292, وړوکی
293, جګ
294, نری
295, پراخ
296, دایره
297, مربع
298, مثلث
299, تریخ
300, تازه
301, مالگين
302, تروش
303, خوږ
304, بد
305, پاک
306, تیاره
307, وچ
308, خالي
309, تش
310, دروند
311, روښان
312, نوي
313, زوړ
314, قوی
315, ځواکمن
316, ارامه
317, غلی
318, سست
319, ورو
320, ډېر
321, كمزور
322, نمجن
323, لوند
324, ځوان
325, څو
326, بعضی
327, ټول
328, په اړه
329, پاس
330, په تیریدادی
331, پر ضد
332, شاوخوا
333, مخکی
334,شا
335,تر
336,لاندي
337,تر څنګ
338,تر منځ
339,پوری غاړه
340,خو
341,له خوا
342,سره لدی
343,لاندی
344,جریان
345,پرته
346,لپاره
347,دننه
348,نږدی
349,راتلونكې
350,وړاندي
351,بهر
352,ګرد
353,بیا
354,لارې
355,پاس
356, نږدی
357,امله
358,هاخوا
359,څنګ
360,ددی
361,علاوه
362,استازيتوب
363,دا
364,ښځه
365,تره
366,ښوونکي
367,زوي
368,پروفيسر
369,پوسته رسان
370,پوليس
371,نرس
372,خور
373,وراره
374,مور
375,مېړه
376,نیا
377,نيکه
378,پلار
379,ډاکټر
380,غاښو
381,لور
382,زوې
383,ورور
384,ماشوم
385,ترور
386,خلک
387,ژمی
388,خزان
389,اوړی
390,پسرلۍ
391,بادی
392,لمریز
393,يخ
394,واوره
395,باران
396,توی
397,سیل
398,هوا
399,ګرم
400,ګردمن
401,سوړ
402,وریځ
403,موسم
404,ساينس
405,سيند
406,دفتر
407,تاريخ
408,جغرافیه
409,كتاب
410,ثانیه
411, دقیقه
412,ساعت
413,وخت
414,هفته
415,ورځې
416,استراليا
417,کاناډا
418,چين
419,مصر
420,انگلستان
421,جاپان
422,امریکا
